Text,Sentiment
"Kickers on my watchlist XIDE TIT SOQ PNK CPW BPZ AJ trade method 1 or method 2, see prev posts",positive sentiment
user: AAP MOVIE. 55% return for the FEA/GEED indicator just 15 trades for the year. AWESOME.,positive sentiment
user I'd be afraid to short AMZN - they are looking like a near-monopoly in eBooks and infrastructure-as-a-service,positive sentiment
MNTA Over 12.00,positive sentiment
OI Over 21.37,positive sentiment
PGNX Over 3.04,positive sentiment
AAP - user if so then the current downtrend will break. Otherwise just a short-term correction in med-term downtrend.,negative sentiment
Monday's relative weakness. NYX WIN TIE TAP ICE INT BMC AON C CHK BIIB,negative sentiment
GOOG - ower trend line channel test & volume support.,positive sentiment
AAP will watch tomorrow for ONG entry.,positive sentiment
i'm assuming FCX opens tomorrow above the 34.25 trigger buy. still very much like this setup.,positive sentiment
"It really worries me how everyone expects the market to rally now,usually exact opposite happens every time we shall see soon bac spx jpm",positive sentiment
AAP GAMCO's arry Haverty : Apple Is Extremely Cheap Great Video !!!,positive sentiment
user Maykiljil posted that. I agree that MSFT is going higher & possibly north of 30,positive sentiment
Momentum is coming back to ETFC Broke MA200 resistance on solid volume Friday. ong set-up,positive sentiment
HA Hitting 35.65 means resume targeting 42 level ..,positive sentiment
user gameplan shot for today but I liked on trend break from May or c+h break. OC weekly trend break back to july 2011,positive sentiment
with FCX gapping well above ideal entry looking for a pull in to at least 35 on open for an entry,positive sentiment
"user great list again, particularly like FISV and SYK. All buy & hold types should check the free list out.",positive sentiment
ATHX upper trend line,positive sentiment
NG - nice PNF BY - breakout - need follow thru,positive sentiment
Won't believe AAP uptrend is back until it crosses above MA(50),negative sentiment
X swing still on,positive sentiment
SWY - 30% of float short and breaking out - ouch,positive sentiment
BIOF wants 4.90's comin!!!,positive sentiment
VS inverted head and shoulder play out well. Wasn't able to catch the entry. Eyes on it,positive sentiment
"red, not ready for break out.",negative sentiment
EI close to breaking out now. My trigger is at 30.40.,positive sentiment
user BAC For a quick Trade to late..But for investing ~11.98 is a good entry point IMHO,positive sentiment
"CHDN - ong  49.02. Trailing Stop 56.66 from 6 prior Stops of 54.17, 49.88, 49.82, 45.47, 43.02 & 41.92 -",positive sentiment
AAP VOME today is impressive. At this rate and well probably get to 30M shares traded today.,positive sentiment
"user: been adding VXY long off the bottom today for trade, also got WPI near low",negative sentiment
"I repeat, if global economy is going to get better this year go with C instead of BAC",positive sentiment
GOOG go ONG on close above 725.,positive sentiment
NKD looking like a good short. Failed to break price level resistance at 116 today.,negative sentiment
GS like the price action. So far holding above 130. Still deciding whether to go ONG calls or stocks.,positive sentiment
SBX buy when it clears resistance at 54.5,positive sentiment
here is NEW up target for AAP and notice shakeout reading at -8.49 ! and we had buy dot Monday,positive sentiment
Too early to short into this move. Stock Market needs a few days to settle down. #Patience COH BWD DT AAP PAY,negative sentiment
AAP obbers hit Apple Store in Paris. Prefer to take merchendise over cash. Bullish.,positive sentiment
AXA Here is my tip of the day. Buy now! You do not even have to sign up for a newsletter or anything O If I'm wrong I will eat crow :),positive sentiment
X out the 1/2 due to the move today and the Kirby on the daily around 26.00 - still swinging 1/2,positive sentiment
"AAP 10 min short won now longs have fully added in, look for a pop here with market,shakeout reset",positive sentiment
NG stellar move - still long swing - full position - I believe user & user in it 2,positive sentiment
